n,intentos,resueltos,tasa_exito,metrica,ambito,muestra,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
5,100,0,0.0,tiempo_pared_ms,consumo_intentos,100,5002.105462998443,5000.088599990704,10.002850724024404,5000.016999983927,5063.621999986935,5000.053300005675,5000.128549982037,5000.492008548732,5004.223225699963
5,100,0,0.0,memoria_max_nodos,consumo_intentos,100,176035.72,149309.0,49470.98630798101,130883.0,308632.0,143355.75,210036.75,166918.60625,186029.54075
5,100,0,0.0,rss_max_muestreado_mb,consumo_intentos,100,360.716328125,349.099609375,20.065999779526045,342.93359375,410.921875,347.1435546875,377.55078125,357.048232421875,364.7657236328125
6,100,0,0.0,profundidad,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,expandidos,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,generados,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,tiempo_cpu_ms,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,tiempo_pared_ms,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,memoria_max_nodos,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,rss_max_muestreado_mb,metricas_resueltos,0,,,,,,,,,
6,100,0,0.0,expandidos,consumo_intentos,100,109567.73,116865.0,33413.86920501121,42564.0,154236.0,80958.75,139528.75,102732.91425,115989.72225
6,100,0,0.0,generados,consumo_intentos,100,357832.61,380227.5,108863.86042597592,135853.0,478781.0,260925.5,462068.5,335758.67949999997,378959.16875
6,100,0,0.0,tiempo_cpu_ms,consumo_intentos,100,4908.4375,4937.5,98.019872270109,4421.875,5078.125,4875.0,4968.75,4887.5,4926.875
6,100,0,0.0,tiempo_pared_ms,consumo_intentos,100,5004.370195000083,5000.0588500115555,19.71344859848924,5000.008999981219,5118.871099984972,5000.030750001315,5000.134024994622,5001.043421675939,5008.711920598202
6,100,0,0.0,memoria_max_nodos,consumo_intentos,100,245092.43,260192.0,74634.45043559531,92418.0,329649.0,178877.75,315325.75,230002.5265,259691.61975
6,100,0,0.0,rss_max_muestreado_mb,consumo_intentos,100,213.101171875,220.654296875,33.693617090944606,138.8359375,251.625,189.21875,245.3076171875,206.21993554687498,219.7336396484375
