experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,5,astar,H5,,limite_tiempo,,138738,454116,0,432,169894,138738,308632,410.921875,4890.625,5000.032600015402
2,49,5,astar,H5,,limite_tiempo,,148851,460701,0,382,153610,148851,302461,407.6953125,4843.75,5000.087099993834
2,39,5,astar,H5,,limite_tiempo,,138298,420128,0,114,136638,138298,274936,398.04296875,4859.375,5000.0702000106685
2,1,5,astar,H5,,limite_tiempo,,131268,421006,0,132,152478,131268,283746,402.20703125,4859.375,5000.0833999947645
2,81,5,astar,H5,,limite_tiempo,,112127,360366,0,225,131683,112127,243810,388.5625,4937.5,5000.165000004927
2,23,5,astar,H5,,limite_tiempo,,71493,227004,0,14,80947,71493,152440,350.0859375,4812.5,5000.083199993242
2,85,5,astar,H5,,limite_tiempo,,131967,417196,0,181,144999,131967,276966,399.51953125,4734.375,5000.016999983927
2,92,5,astar,H5,,limite_tiempo,,96270,307434,0,518,109261,96270,205531,375.25390625,4656.25,5000.120699987747
2,68,5,astar,H5,,limite_tiempo,,63447,205902,0,559,74507,63447,137954,345.41015625,4843.75,5000.127399980556
2,33,5,astar,H5,,limite_tiempo,,68329,221400,0,479,79884,68329,148213,348.8671875,4734.375,5000.170899991645
2,91,5,astar,H5,,limite_tiempo,,68976,216000,0,25,74459,68976,143435,346.8203125,4640.625,5000.117299990961
2,38,5,astar,H5,,limite_tiempo,,66177,209671,0,136,74108,66177,140285,345.89453125,4750.0,5000.03850000212
2,44,5,astar,H5,,limite_tiempo,,117167,369954,0,1259,124324,117167,241491,388.140625,4718.75,5000.076500000432
2,13,5,astar,H5,,limite_tiempo,,77524,249007,0,154,89201,77524,166725,354.890625,4609.375,5000.122400000691
2,54,5,astar,H5,,limite_tiempo,,68144,216012,0,274,76712,68144,144856,347.5078125,4609.375,5000.137600000016
2,70,5,astar,H5,,limite_tiempo,,69380,223970,0,278,81667,69380,151047,349.74609375,4843.75,5000.0788000179455
2,62,5,astar,H5,,limite_tiempo,,69527,225696,0,418,82392,69527,151919,350.109375,4718.75,5000.045299995691
2,24,5,astar,H5,,limite_tiempo,,73075,229622,0,15,78939,73075,152014,349.734375,4875.0,5000.047800014727
2,19,5,astar,H5,,limite_tiempo,,67858,222782,0,137,85239,67858,153097,350.47265625,4734.375,5000.065500003984
2,25,5,astar,H5,,limite_tiempo,,69958,228594,0,647,83894,69958,153852,350.859375,4562.5,5000.0899999868125
2,2,5,astar,H5,,limite_tiempo,,67076,211729,0,26,75469,67076,142545,346.65234375,4546.875,5000.185499986401
2,82,5,astar,H5,,limite_tiempo,,71279,224364,0,156,77074,71279,148353,348.4765625,4671.875,5000.034900003811
2,35,5,astar,H5,,limite_tiempo,,70015,223261,0,265,79180,70015,149195,348.9921875,4875.0,5000.035699980799
2,52,5,astar,H5,,limite_tiempo,,65511,214718,0,283,80117,65511,145628,347.97265625,4906.25,5000.074100011261
2,31,5,astar,H5,,limite_tiempo,,66521,215407,0,96,78695,66521,145216,347.5859375,4734.375,5000.294099998428
2,75,5,astar,H5,,limite_tiempo,,69885,217832,0,100,76137,69885,146022,347.59765625,4843.75,5000.103200000012
2,12,5,astar,H5,,limite_tiempo,,65935,215224,0,363,78982,65935,144917,347.671875,4843.75,5000.108199979877
2,42,5,astar,H5,,limite_tiempo,,65866,214939,0,159,81201,65866,147067,348.5,4828.125,5000.082699989434
2,50,5,astar,H5,,limite_tiempo,,94591,308209,0,245,114576,94591,209167,377.54296875,4656.25,5000.091699999757
2,51,5,astar,H5,,limite_tiempo,,104813,322298,0,23,107833,104813,212646,376.96875,4906.25,5000.028399983421
2,46,5,astar,H5,,limite_tiempo,,122239,373632,0,82,123780,122239,246019,389.11328125,4796.875,5000.031200004742
2,36,5,astar,H5,,limite_tiempo,,110278,358016,0,124,132578,110278,242856,390.12890625,4796.875,5000.0740000105
2,27,5,astar,H5,,limite_tiempo,,106021,344873,0,486,128557,106021,234578,385.59375,4781.25,5000.064699997893
2,78,5,astar,H5,,limite_tiempo,,94401,303227,0,325,110345,94401,204746,375.015625,4859.375,5000.054499978432
2,65,5,astar,H5,,limite_tiempo,,85838,273339,0,489,97395,85838,183233,367.578125,4546.875,5000.133499997901
2,41,5,astar,H5,,limite_tiempo,,67902,218334,0,311,79548,67902,147450,348.5078125,4890.625,5000.081300007878
2,37,5,astar,H5,,limite_tiempo,,71811,220723,0,48,73557,71811,145368,347.2734375,4781.25,5000.051500013797
2,55,5,astar,H5,,limite_tiempo,,71627,230500,0,197,82401,71627,154027,350.58203125,4625.0,5000.050899980124
2,40,5,astar,H5,,limite_tiempo,,71618,221322,0,70,74289,71618,145907,347.50390625,4765.625,5000.057700002799
2,10,5,astar,H5,,limite_tiempo,,66254,208166,0,65,70824,66254,137078,344.578125,4515.625,5000.045900000259
2,5,5,astar,H5,,limite_tiempo,,66253,212851,0,349,76804,66253,143057,346.96875,4828.125,5038.432300003478
2,94,5,astar,H5,,limite_tiempo,,71943,222828,0,63,76371,71943,148314,348.390625,4875.0,5000.123399979202
2,97,5,astar,H5,,limite_tiempo,,69256,222126,0,63,80993,69256,150249,349.44140625,4765.625,5000.102300022263
2,53,5,astar,H5,,limite_tiempo,,72981,218546,0,17,69968,72981,142949,346.2578125,4796.875,5000.053600000683
2,60,5,astar,H5,,limite_tiempo,,62991,204827,0,85,74953,62991,137944,345.24609375,4765.625,5000.075999996625
2,3,5,astar,H5,,limite_tiempo,,64283,210722,0,292,77992,64283,142275,346.765625,4781.25,5000.15639999765
