experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,3,astar,H5,,resuelto,26,89,252,0,0,76,90,165,28.515625,15.625,3.3983000030275434
2,49,3,astar,H5,,resuelto,18,27,78,0,0,24,28,51,28.5234375,0.0,0.7939999923110008
2,39,3,astar,H5,,resuelto,23,208,586,0,0,162,209,370,28.6328125,0.0,5.835200019646436
2,1,3,astar,H5,,resuelto,22,106,298,0,0,85,107,191,28.66015625,0.0,2.7589999954216182
2,81,3,astar,H5,,resuelto,22,161,447,0,1,120,162,281,28.734375,0.0,3.792600007727742
2,23,3,astar,H5,,resuelto,22,38,107,0,0,33,39,71,28.73828125,0.0,1.1070999898947775
2,85,3,astar,H5,,resuelto,25,129,363,0,0,101,130,230,28.73828125,0.0,3.165099973557517
2,92,3,astar,H5,,resuelto,23,49,137,0,0,41,50,90,28.73828125,0.0,1.2700000079348683
2,68,3,astar,H5,,resuelto,23,100,276,0,0,74,101,174,28.73828125,0.0,3.3072000078391284
2,33,3,astar,H5,,resuelto,21,61,178,0,0,58,62,119,28.73828125,0.0,1.6022000054363161
2,91,3,astar,H5,,resuelto,23,216,594,0,1,152,217,368,28.73828125,15.625,4.761699994560331
2,38,3,astar,H5,,resuelto,24,115,320,0,0,86,116,201,28.73828125,0.0,2.5658000085968524
2,44,3,astar,H5,,resuelto,26,313,874,0,0,221,314,534,28.75390625,0.0,8.89420000021346
2,13,3,astar,H5,,resuelto,22,60,168,0,0,46,61,106,28.75390625,15.625,2.5251000188291073
2,54,3,astar,H5,,resuelto,13,15,42,0,0,14,16,29,28.75390625,0.0,0.829399999929592
2,70,3,astar,H5,,resuelto,16,17,48,0,0,16,18,33,28.75390625,0.0,1.0728999914135784
2,62,3,astar,H5,,resuelto,22,177,492,0,0,134,178,311,28.75390625,0.0,4.215799999656156
2,24,3,astar,H5,,resuelto,23,103,283,0,0,68,104,171,28.75390625,0.0,2.8341999859549105
2,19,3,astar,H5,,resuelto,26,421,1168,0,1,295,422,716,28.7890625,15.625,10.263800009852275
2,25,3,astar,H5,,resuelto,20,34,99,0,0,31,35,65,28.7890625,0.0,0.9528000082354993
2,2,3,astar,H5,,resuelto,22,95,266,0,0,77,96,172,28.7890625,0.0,2.4027000181376934
2,82,3,astar,H5,,resuelto,24,62,180,0,0,53,63,115,28.7890625,0.0,2.40759999724105
2,35,3,astar,H5,,resuelto,25,138,381,0,0,102,139,240,28.7890625,15.625,4.210999992210418
2,52,3,astar,H5,,resuelto,26,309,862,0,0,226,310,535,28.7890625,0.0,7.221199979539961
2,31,3,astar,H5,,resuelto,27,696,1929,0,2,486,697,1182,28.92578125,15.625,17.025800014380366
