n,intentos,resueltos,tasa_exito,metrica,ambito,muestra,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
5,100,100,1.0,generados,consumo_intentos,100,485.82,234.0,646.983667693881,61.0,3729.0,120.75,503.25,372.64849999999996,619.6707499999999
5,100,100,1.0,tiempo_cpu_ms,consumo_intentos,100,4.6875,0.0,8.159890122923336,0.0,31.25,0.0,15.625,3.125,6.25
5,100,100,1.0,tiempo_pared_ms,consumo_intentos,100,4.585065001738258,2.455900001223199,5.703460735984458,0.5840999947395176,33.54230002150871,1.1830249859485775,4.964100000506733,3.591285725015041,5.7770214022893915
5,100,100,1.0,memoria_max_nodos,consumo_intentos,100,336.57,164.5,443.4252412137299,44.0,2589.0,86.25,351.0,259.4100000000001,428.62025000000006
5,100,100,1.0,rss_max_muestreado_mb,consumo_intentos,100,291.5900390625,291.546875,0.22163555463192378,291.015625,291.91796875,291.41015625,291.69921875,291.545818359375,291.63312695312504
6,100,100,1.0,profundidad,metricas_resueltos,100,19.06,20.0,2.05883167810967,10.0,20.0,20.0,20.0,18.64,19.42
6,100,100,1.0,expandidos,metricas_resueltos,100,94.23,52.0,115.49759322342626,14.0,664.0,30.0,102.75,73.21825000000001,118.67074999999998
6,100,100,1.0,generados,metricas_resueltos,100,321.47,172.5,399.25689699487947,48.0,2344.0,104.0,344.25,249.20974999999999,406.6225
6,100,100,1.0,tiempo_cpu_ms,metricas_resueltos,100,5.3125,0.0,9.986378032706414,0.0,46.875,0.0,15.625,3.59375,7.5
6,100,100,1.0,tiempo_pared_ms,metricas_resueltos,100,5.286450997518841,2.9094499914208427,7.180524769445102,0.7362000178545713,41.576200019335374,1.6373999897041358,5.232250012340955,3.98636089667707,6.8565216746210345
6,100,100,1.0,memoria_max_nodos,metricas_resueltos,100,226.97,122.0,280.1963400722768,36.0,1664.0,76.0,241.0,176.06900000000002,287.10200000000003
6,100,100,1.0,rss_max_muestreado_mb,metricas_resueltos,100,91.2507421875,91.25390625,0.20778121011565687,90.54296875,91.66015625,91.25,91.39453125,91.2088662109375,91.2905859375
6,100,100,1.0,expandidos,consumo_intentos,100,94.23,52.0,115.49759322342626,14.0,664.0,30.0,102.75,73.21825000000001,118.67074999999998
6,100,100,1.0,generados,consumo_intentos,100,321.47,172.5,399.25689699487947,48.0,2344.0,104.0,344.25,249.20974999999999,406.6225
6,100,100,1.0,tiempo_cpu_ms,consumo_intentos,100,5.3125,0.0,9.986378032706414,0.0,46.875,0.0,15.625,3.59375,7.5
6,100,100,1.0,tiempo_pared_ms,consumo_intentos,100,5.286450997518841,2.9094499914208427,7.180524769445102,0.7362000178545713,41.576200019335374,1.6373999897041358,5.232250012340955,3.98636089667707,6.8565216746210345
6,100,100,1.0,memoria_max_nodos,consumo_intentos,100,226.97,122.0,280.1963400722768,36.0,1664.0,76.0,241.0,176.06900000000002,287.10200000000003
6,100,100,1.0,rss_max_muestreado_mb,consumo_intentos,100,91.2507421875,91.25390625,0.20778121011565687,90.54296875,91.66015625,91.25,91.39453125,91.2088662109375,91.2905859375
