algoritmo,heuristica,ambito,metrica,n,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
astar,H3,resueltos,generados,1000,2337.001,1366.5,2923.8892231389664,25.0,34039.0,580.0,2880.5,2160.8508,2523.0042749999993
astar,H3,resueltos,tiempo_cpu_ms,1000,16.296875,15.625,23.41351062077116,0.0,218.75,0.0,15.625,14.921875,17.78125
astar,H3,resueltos,tiempo_pared_ms,1000,16.621777100284817,9.065849997568876,22.587004676902666,0.15539999003522098,204.74620000459254,3.871750013786368,20.373200000904035,15.28395158023268,18.078103375135832
astar,H3,resueltos,memoria_max_nodos,1000,1378.183,817.0,1684.1095072302583,18.0,19152.0,354.75,1701.25,1276.63435,1484.961475
astar,H3,resueltos,rss_max_muestreado_mb,1000,28.2204140625,28.5390625,0.8062401438733579,24.703125,30.2421875,27.98046875,28.87890625,28.1711392578125,28.26959765625
astar,H3,todos_intentos,exito,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9961732415144449,1.0
astar,H4,todos_intentos,expandidos,1000,504.73,284.5,646.8896345585538,8.0,7949.0,132.0,625.25,466.024375,546.1411
astar,H4,todos_intentos,generados,1000,1365.24,767.5,1745.021846179481,22.0,21417.0,359.0,1691.25,1260.821175,1476.6987
astar,H4,todos_intentos,tiempo_cpu_ms,1000,26.21875,15.625,35.83400714762104,0.0,468.75,0.0,31.25,24.077734375,28.515625
astar,H4,todos_intentos,tiempo_pared_ms,1000,27.010077999992063,15.314799980842508,36.18264267663953,0.2547999902162701,490.622599987546,6.5137999918079,32.37157500552712,24.85288748028397,29.31935649246952
astar,H4,todos_intentos,memoria_max_nodos,1000,818.757,467.0,1024.0593984738398,16.0,12349.0,221.75,1014.25,757.4705250000001,883.9119999999999
astar,H4,todos_intentos,rss_max_muestreado_mb,1000,28.674921875,28.74609375,0.5918120747458758,25.703125,30.453125,28.65234375,29.078125,28.63767958984375,28.710586621093746
astar,H4,resueltos,profundidad,1000,21.855,22.0,3.4490391228385437,8.0,30.0,20.0,24.0,21.639,22.074
