experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,6,astar,H5,,resuelto,20,25,86,0,0,38,26,63,90.54296875,15.625,2.667799999471754
2,49,6,astar,H5,,resuelto,20,108,363,0,0,148,109,256,90.7109375,0.0,6.4418999827466905
2,39,6,astar,H5,,resuelto,12,69,250,0,0,112,70,181,90.71875,0.0,3.7026999925728887
2,1,6,astar,H5,,resuelto,20,47,158,0,0,66,48,113,90.71875,15.625,4.007099982118234
2,81,6,astar,H5,,resuelto,16,22,72,0,0,30,23,52,90.71875,0.0,1.6238999960478395
2,23,6,astar,H5,,resuelto,18,85,274,0,1,102,86,187,90.7265625,0.0,3.4432999964337796
2,85,6,astar,H5,,resuelto,14,16,51,0,0,21,17,37,90.7265625,0.0,0.7362000178545713
2,92,6,astar,H5,,resuelto,20,55,176,0,0,68,56,123,90.734375,0.0,2.1572000114247203
2,68,6,astar,H5,,resuelto,16,192,657,0,0,264,193,456,90.91015625,15.625,9.036699979333207
2,33,6,astar,H5,,resuelto,20,112,389,0,0,167,113,279,90.91796875,0.0,4.819299996597692
2,91,6,astar,H5,,resuelto,20,72,233,0,0,81,73,153,90.91796875,0.0,2.7043999871239066
2,38,6,astar,H5,,resuelto,20,51,159,0,0,57,52,108,90.921875,0.0,1.941199996508658
2,44,6,astar,H5,,resuelto,20,187,617,0,0,235,188,422,90.9296875,0.0,8.895699982531369
2,13,6,astar,H5,,resuelto,20,24,81,0,0,35,25,59,90.9296875,0.0,1.119799999287352
2,54,6,astar,H5,,resuelto,20,20,66,0,0,28,21,48,90.9296875,0.0,0.9514999983366579
2,70,6,astar,H5,,resuelto,20,382,1317,0,2,541,383,923,91.24609375,31.25,22.46239999658428
2,62,6,astar,H5,,resuelto,20,85,298,0,0,129,86,214,91.24609375,0.0,4.493599990382791
2,24,6,astar,H5,,resuelto,20,25,85,0,0,36,26,61,91.24609375,0.0,1.284799975110218
2,19,6,astar,H5,,resuelto,20,83,268,0,0,104,84,187,91.24609375,0.0,3.401500027393922
2,25,6,astar,H5,,resuelto,20,122,412,0,0,168,123,290,91.24609375,15.625,5.192200012970716
2,2,6,astar,H5,,resuelto,20,57,189,0,0,75,58,132,91.24609375,0.0,2.7390999894123524
2,82,6,astar,H5,,resuelto,20,40,131,0,0,53,41,93,91.24609375,0.0,2.039000013610348
2,35,6,astar,H5,,resuelto,20,63,227,0,0,103,64,166,91.25,0.0,4.362199979368597
2,52,6,astar,H5,,resuelto,20,44,151,0,0,63,45,107,91.25,0.0,2.0081999828107655
2,31,6,astar,H5,,resuelto,16,25,85,0,0,37,26,62,91.25,0.0,1.19859998812899
2,75,6,astar,H5,,resuelto,20,100,338,0,0,136,101,236,91.25,15.625,4.474000015761703
2,12,6,astar,H5,,resuelto,18,314,1075,0,0,430,315,744,91.25,15.625,14.096800005063415
2,42,6,astar,H5,,resuelto,18,116,395,0,1,163,117,279,91.25,0.0,5.0694000092335045
2,50,6,astar,H5,,resuelto,20,20,68,0,0,30,21,50,91.25,0.0,2.0674999977927655
2,51,6,astar,H5,,resuelto,20,43,140,0,0,56,44,99,91.25,15.625,3.6031999916303903
2,46,6,astar,H5,,resuelto,20,34,115,0,0,47,35,81,91.25,0.0,1.7515000072307885
2,36,6,astar,H5,,resuelto,20,31,105,0,0,45,32,76,91.25,0.0,1.4449999725911766
2,27,6,astar,H5,,resuelto,20,68,228,0,0,94,69,162,91.25,0.0,2.922299987403676
2,78,6,astar,H5,,resuelto,20,26,90,0,0,40,27,66,91.25390625,0.0,1.2709000147879124
2,65,6,astar,H5,,resuelto,20,81,290,0,0,130,82,211,91.25390625,0.0,5.3524000104516745
2,41,6,astar,H5,,resuelto,20,21,69,0,0,29,22,50,91.25390625,0.0,1.0273999942000955
2,37,6,astar,H5,,resuelto,18,161,551,0,0,227,162,388,91.25390625,15.625,6.863499991595745
2,55,6,astar,H5,,resuelto,18,50,166,0,0,67,51,117,91.25390625,0.0,2.126499981386587
2,40,6,astar,H5,,resuelto,20,22,79,0,0,37,23,59,91.25390625,0.0,1.1393000022508204
2,10,6,astar,H5,,resuelto,18,54,194,0,0,88,55,142,91.25390625,0.0,3.5086999996565282
2,5,6,astar,H5,,resuelto,20,35,122,0,0,52,36,87,91.25390625,0.0,1.667400007136166
2,94,6,astar,H5,,resuelto,20,59,215,0,0,99,60,158,91.25390625,15.625,2.9718000150751323
2,97,6,astar,H5,,resuelto,20,327,1100,0,1,440,328,767,91.25390625,15.625,14.786899992031977
2,53,6,astar,H5,,resuelto,20,30,104,0,0,46,31,76,91.25390625,0.0,1.56309999874793
2,60,6,astar,H5,,resuelto,20,57,190,0,0,76,58,133,91.25390625,0.0,2.479500020854175
2,3,6,astar,H5,,resuelto,20,62,220,0,0,98,63,160,91.25390625,0.0,2.8965999954380095
2,95,6,astar,H5,,resuelto,20,164,536,0,0,195,165,359,91.25390625,15.625,10.229499981505796
2,59,6,astar,H5,,resuelto,20,29,100,0,0,44,30,73,91.25390625,0.0,1.6223999846260995
2,18,6,astar,H5,,resuelto,18,20,66,0,0,28,21,48,91.25390625,0.0,1.178200007416308
2,98,6,astar,H5,,resuelto,20,127,421,0,0,167,128,294,91.25390625,0.0,5.655899993143976
2,29,6,astar,H5,,resuelto,20,34,122,0,0,56,35,90,91.25390625,15.625,3.332399995997548
2,34,6,astar,H5,,resuelto,20,60,204,0,0,86,61,146,91.25390625,0.0,2.697699994314462
2,15,6,astar,H5,,resuelto,18,53,185,0,0,81,54,134,91.25390625,0.0,2.416200004518032
2,45,6,astar,H5,,resuelto,18,63,202,0,0,75,64,138,91.25390625,0.0,2.528199984226376
2,71,6,astar,H5,,resuelto,20,25,84,0,0,35,26,60,91.25390625,0.0,1.3034000003244728
2,7,6,astar,H5,,resuelto,20,542,1844,0,0,747,543,1289,91.37109375,46.875,37.07979997852817
2,93,6,astar,H5,,resuelto,20,372,1295,0,0,543,373,915,91.3828125,15.625,21.62549999775365
2,47,6,astar,H5,,resuelto,20,121,433,0,0,192,122,313,91.3828125,0.0,5.803900014143437
2,21,6,astar,H5,,resuelto,20,430,1501,0,1,635,431,1065,91.390625,31.25,32.05410001100972
2,48,6,astar,H5,,resuelto,20,25,86,0,0,38,26,63,91.390625,15.625,2.4753999896347523
2,86,6,astar,H5,,resuelto,18,98,330,0,0,136,99,234,91.390625,0.0,7.005299994489178
2,22,6,astar,H5,,resuelto,20,63,202,0,0,76,64,139,91.39453125,0.0,4.085799999302253
