experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,5,astar,H5,,resuelto,20,47,159,0,0,67,48,114,291.015625,15.625,2.48910000664182
2,49,5,astar,H5,,resuelto,20,238,786,0,0,308,239,546,291.15625,0.0,6.87759998254478
2,39,5,astar,H5,,resuelto,20,32,105,0,0,43,33,75,291.15625,0.0,1.0038000182248652
2,1,5,astar,H5,,resuelto,20,127,429,0,0,177,128,304,291.15625,15.625,4.454899986740202
2,81,5,astar,H5,,resuelto,12,18,61,0,0,27,19,45,291.15625,0.0,0.6161000055726618
2,23,5,astar,H5,,resuelto,18,32,110,0,0,48,33,80,291.16015625,0.0,1.0165999992750585
2,85,5,astar,H5,,resuelto,16,411,1357,0,0,533,412,944,291.31640625,0.0,10.824299999512732
2,92,5,astar,H5,,resuelto,20,63,220,0,0,96,64,159,291.31640625,15.625,2.4064999888651073
2,68,5,astar,H5,,resuelto,20,430,1440,0,3,551,431,981,291.34375,0.0,11.35349998367019
2,33,5,astar,H5,,resuelto,20,72,231,0,0,89,73,161,291.34375,0.0,1.956599997356534
2,91,5,astar,H5,,resuelto,20,36,121,0,0,51,37,87,291.34375,15.625,1.4619000139646232
2,38,5,astar,H5,,resuelto,20,46,152,0,0,62,47,108,291.34375,0.0,1.4826999977231026
2,44,5,astar,H5,,resuelto,20,68,232,0,0,98,69,166,291.34375,0.0,2.348700014408678
2,13,5,astar,H5,,resuelto,20,68,210,0,0,69,69,137,291.34375,0.0,1.6147999849636108
2,54,5,astar,H5,,resuelto,20,174,567,0,0,219,175,393,291.34375,0.0,4.410300025483593
2,70,5,astar,H5,,resuelto,20,129,440,0,0,182,130,311,291.34375,0.0,3.4759999834932387
2,62,5,astar,H5,,resuelto,20,531,1765,0,1,662,532,1193,291.40625,15.625,14.58039999124594
2,24,5,astar,H5,,resuelto,20,178,575,0,0,216,179,394,291.40625,15.625,5.884200014406815
2,19,5,astar,H5,,resuelto,20,77,260,0,0,107,78,184,291.40625,0.0,2.168800012441352
2,25,5,astar,H5,,resuelto,20,66,218,0,0,88,67,154,291.40625,0.0,1.7395000031683594
2,2,5,astar,H5,,resuelto,20,46,153,0,0,63,47,109,291.40625,0.0,1.275799993891269
2,82,5,astar,H5,,resuelto,18,91,307,0,0,125,92,216,291.40625,0.0,2.425100014079362
2,35,5,astar,H5,,resuelto,20,63,207,0,0,83,64,146,291.41015625,0.0,1.6849999956320971
2,52,5,astar,H5,,resuelto,20,150,497,0,0,199,151,349,291.41015625,15.625,4.883600020548329
2,31,5,astar,H5,,resuelto,20,487,1628,0,1,636,488,1123,291.41015625,15.625,13.153300009435043
2,75,5,astar,H5,,resuelto,18,57,187,0,0,73,58,130,291.41015625,0.0,1.9970000139437616
2,12,5,astar,H5,,resuelto,20,34,107,0,0,41,35,75,291.41015625,0.0,1.4297000016085804
2,42,5,astar,H5,,resuelto,20,20,63,0,0,25,21,45,291.41015625,0.0,0.5840999947395176
2,50,5,astar,H5,,resuelto,20,38,124,0,0,50,39,88,291.41015625,0.0,1.03420001687482
2,51,5,astar,H5,,resuelto,14,25,84,0,0,36,26,61,291.41015625,0.0,0.7181999972090125
2,46,5,astar,H5,,resuelto,20,33,110,0,0,46,34,79,291.41015625,0.0,0.9140000038314611
2,36,5,astar,H5,,resuelto,20,617,2047,0,0,777,618,1394,291.54296875,15.625,17.44590001180768
2,27,5,astar,H5,,resuelto,18,77,253,0,0,100,78,177,291.54296875,0.0,2.5749999913387
2,78,5,astar,H5,,resuelto,20,103,350,0,0,145,104,248,291.546875,15.625,3.454199992120266
2,65,5,astar,H5,,resuelto,20,79,257,0,0,101,80,180,291.546875,0.0,2.758200018433854
2,41,5,astar,H5,,resuelto,20,84,285,0,0,119,85,203,291.546875,0.0,3.555700008291751
2,37,5,astar,H5,,resuelto,20,30,105,0,0,47,31,77,291.546875,0.0,1.1515000078361481
2,55,5,astar,H5,,resuelto,20,161,533,0,0,208,162,369,291.546875,15.625,5.143199989106506
2,40,5,astar,H5,,resuelto,20,24,80,0,0,34,25,58,291.546875,0.0,0.8669000235386193
2,10,5,astar,H5,,resuelto,20,42,142,0,0,58,43,100,291.546875,0.0,1.4242000179365277
2,5,5,astar,H5,,resuelto,20,74,248,0,0,102,75,176,291.546875,0.0,2.4406000156886876
2,94,5,astar,H5,,resuelto,16,30,102,0,0,44,31,74,291.546875,0.0,1.2240000069141388
2,97,5,astar,H5,,resuelto,20,89,289,0,0,111,90,200,291.546875,0.0,3.1682999979238957
2,53,5,astar,H5,,resuelto,20,119,395,0,0,155,120,274,291.546875,0.0,3.8546999858226627
2,60,5,astar,H5,,resuelto,20,40,132,0,0,54,41,94,291.546875,15.625,1.4029000012669712
2,3,5,astar,H5,,resuelto,20,33,113,0,0,49,34,82,291.546875,0.0,1.1852999741677195
2,95,5,astar,H5,,resuelto,20,120,394,0,0,155,121,275,291.546875,0.0,3.857500007143244
2,59,5,astar,H5,,resuelto,12,30,99,0,0,41,31,71,291.546875,0.0,1.0485000093467534
2,18,5,astar,H5,,resuelto,20,142,457,0,0,173,143,315,291.546875,0.0,7.998000015504658
2,98,5,astar,H5,,resuelto,20,53,166,0,0,60,54,113,291.546875,0.0,1.9946999964304268
2,29,5,astar,H5,,resuelto,20,31,105,0,0,45,32,76,291.546875,0.0,1.1343999940436333
2,34,5,astar,H5,,resuelto,20,29,94,0,0,38,30,67,291.546875,0.0,1.0034000151790679
2,15,5,astar,H5,,resuelto,20,40,131,0,0,53,41,93,291.546875,0.0,1.3857000158168375
2,45,5,astar,H5,,resuelto,20,550,1831,0,9,692,551,1242,291.55859375,15.625,17.95989999664016
2,71,5,astar,H5,,resuelto,20,157,528,0,0,215,158,372,291.55859375,15.625,9.92819998646155
2,7,5,astar,H5,,resuelto,18,70,231,0,0,92,71,162,291.5625,0.0,4.208500002278015
2,93,5,astar,H5,,resuelto,20,50,171,0,0,71,51,121,291.5625,0.0,3.20909998845309
2,47,5,astar,H5,,resuelto,20,857,2866,0,4,1100,858,1957,291.6953125,31.25,26.299099990865216
2,21,5,astar,H5,,resuelto,18,26,88,0,0,38,27,64,291.6953125,0.0,0.8604000031482428
2,48,5,astar,H5,,resuelto,18,153,502,0,0,195,154,348,291.6953125,0.0,4.104299994651228
2,86,5,astar,H5,,resuelto,20,152,507,0,0,205,153,357,291.6953125,15.625,5.1454000058583915
2,22,5,astar,H5,,resuelto,20,20,62,0,0,24,21,44,291.69921875,0.0,0.6296999927144498
2,96,5,astar,H5,,resuelto,20,122,402,0,0,158,123,280,291.69921875,0.0,3.3303000091109425
2,67,5,astar,H5,,resuelto,16,48,154,0,0,55,49,103,291.69921875,0.0,1.2738000077661127
2,83,5,astar,H5,,resuelto,20,27,89,0,0,37,28,64,291.69921875,0.0,0.824199989438057
