experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
1,253,3,astar,H3,,resuelto,24,846,2253,0,3,496,847,1342,27.83984375,0.0,13.378500007092953
1,658,3,astar,H3,,resuelto,22,147,394,0,0,95,148,242,27.83984375,0.0,1.808900007745251
1,187,3,astar,H3,,resuelto,22,644,1705,0,1,377,645,1021,27.83984375,0.0,9.537500009173527
1,469,3,astar,H3,,resuelto,26,1896,5070,0,12,1086,1897,2982,27.98046875,31.25,24.561100028222427
1,757,3,astar,H3,,resuelto,17,81,216,0,0,55,82,136,27.98046875,0.0,0.9944000048562884
1,752,3,astar,H3,,resuelto,25,1637,4309,0,8,892,1638,2529,27.98046875,15.625,21.85219997772947
1,900,3,astar,H3,,resuelto,20,296,800,0,3,191,297,487,27.98046875,15.625,6.093899981351569
1,744,3,astar,H3,,resuelto,20,335,913,0,2,218,336,553,27.98046875,0.0,4.586299997754395
1,954,3,astar,H3,,resuelto,23,1235,3316,0,6,729,1236,1963,27.98046875,15.625,16.109799995319918
1,465,3,astar,H3,,resuelto,21,671,1795,0,4,396,672,1066,27.98046875,15.625,11.148599995067343
1,477,3,astar,H3,,resuelto,28,4222,11149,0,31,2236,4223,6458,28.26171875,62.5,59.94010000722483
1,888,3,astar,H3,,resuelto,23,530,1400,0,5,298,531,828,27.7734375,0.0,7.1823000034783036
1,513,3,astar,H3,,resuelto,20,213,571,0,0,139,214,352,27.7734375,0.0,2.3529999889433384
1,627,3,astar,H3,,resuelto,23,562,1465,0,0,308,563,870,27.7734375,15.625,7.812299998477101
1,784,3,astar,H3,,resuelto,23,1403,3749,0,5,816,1404,2218,27.83984375,15.625,19.22539999941364
1,133,3,astar,H3,,resuelto,26,1065,2836,0,3,635,1066,1700,27.83984375,15.625,15.163800009759143
1,121,3,astar,H3,,resuelto,25,1319,3503,0,10,758,1320,2077,27.83984375,15.625,18.080599984386936
1,804,3,astar,H3,,resuelto,24,1306,3471,0,11,747,1307,2052,27.83984375,15.625,17.469299986260012
1,568,3,astar,H3,,resuelto,16,62,167,0,0,44,63,106,27.83984375,0.0,0.8848999859765172
1,931,3,astar,H3,,resuelto,16,92,245,0,0,60,93,152,27.83984375,15.625,1.0876999876927584
1,991,3,astar,H3,,resuelto,22,91,243,0,0,61,92,152,27.83984375,0.0,1.0433999996166676
1,440,3,astar,H3,,resuelto,23,668,1772,0,1,387,669,1055,27.83984375,0.0,9.218099992722273
1,730,3,astar,H3,,resuelto,26,2103,5594,0,14,1182,2104,3285,27.98046875,31.25,29.68370000598952
1,894,3,astar,H3,,resuelto,18,166,452,0,0,115,167,281,27.98046875,0.0,2.4391000042669475
1,475,3,astar,H3,,resuelto,26,2007,5374,0,21,1152,2008,3158,27.98046875,31.25,24.585000006482005
1,115,3,astar,H3,,resuelto,25,1804,4814,0,13,1036,1805,2840,27.98046875,15.625,23.044100002152845
1,151,3,astar,H3,,resuelto,23,328,872,0,2,194,329,522,27.98046875,15.625,3.6644000210799277
1,581,3,astar,H3,,resuelto,24,1062,2841,0,8,626,1063,1688,27.98046875,0.0,12.919400003738701
1,507,3,astar,H3,,resuelto,21,134,358,0,0,89,135,223,27.98046875,15.625,1.5977999719325453
1,352,3,astar,H3,,resuelto,22,767,2052,0,2,468,768,1235,27.98046875,0.0,10.320400004275143
1,107,3,astar,H3,,resuelto,27,2277,6061,0,2,1267,2278,3544,27.98046875,46.875,63.69740000809543
1,349,3,astar,H3,,resuelto,17,211,565,0,0,132,212,343,27.98046875,15.625,6.698999990476295
1,419,3,astar,H3,,resuelto,22,413,1094,0,2,246,414,658,27.98046875,0.0,10.408699978142977
1,777,3,astar,H3,,resuelto,17,22,60,0,0,18,23,40,27.98046875,15.625,0.7083000091370195
1,840,3,astar,H3,,resuelto,22,334,896,0,0,205,335,539,27.98046875,0.0,9.553899988532066
1,493,3,astar,H3,,resuelto,14,58,159,0,0,43,59,101,27.98046875,0.0,1.721800013910979
1,780,3,astar,H3,,resuelto,23,314,827,0,0,189,315,503,27.98046875,15.625,8.380400016903877
1,147,3,astar,H3,,resuelto,14,32,85,0,0,23,33,55,27.98046875,0.0,1.3451999984681606
1,191,3,astar,H3,,resuelto,28,5224,13850,0,50,2775,5225,7999,28.76171875,62.5,69.96739999158308
1,460,3,astar,H3,,resuelto,20,132,348,0,0,80,133,212,27.5625,15.625,1.9539000059012324
1,265,3,astar,H3,,resuelto,21,352,932,0,1,202,353,554,27.60546875,0.0,5.389399972045794
1,651,3,astar,H3,,resuelto,20,208,552,0,0,134,209,342,27.60546875,0.0,4.221399984089658
1,356,3,astar,H3,,resuelto,16,43,120,0,0,34,44,77,27.60546875,0.0,0.9202999935951084
1,363,3,astar,H3,,resuelto,27,2610,6949,0,14,1472,2611,4082,27.98828125,46.875,38.15239999676123
1,128,3,astar,H3,,resuelto,22,519,1394,0,0,314,520,833,27.7734375,0.0,10.82170000881888
1,369,3,astar,H3,,resuelto,20,352,935,0,3,212,353,564,27.7734375,15.625,4.002600006060675
1,360,3,astar,H3,,resuelto,27,3243,8674,0,23,1845,3244,5088,27.98828125,46.875,48.776599986013025
1,618,3,astar,H3,,resuelto,20,547,1462,0,1,322,548,869,27.98828125,0.0,8.60530001227744
1,898,3,astar,H3,,resuelto,20,358,947,0,0,206,359,564,27.98828125,0.0,5.017299990868196
1,259,3,astar,H3,,resuelto,24,1334,3584,0,15,795,1335,2128,27.98828125,15.625,15.404700010549277
1,130,3,astar,H3,,resuelto,21,341,897,0,2,191,342,532,27.98828125,0.0,3.541700018104166
1,557,3,astar,H3,,resuelto,18,137,373,0,0,96,138,233,27.98828125,0.0,1.65200000628829
1,87,3,astar,H3,,resuelto,24,608,1614,0,1,368,609,976,27.98828125,15.625,6.835099979070947
1,446,3,astar,H3,,resuelto,28,3364,8920,0,13,1824,3365,5188,27.98828125,31.25,40.80349998548627
1,268,3,astar,H3,,resuelto,24,1495,3975,0,3,849,1496,2344,27.98828125,31.25,23.293299978831783
1,963,3,astar,H3,,resuelto,20,157,418,0,1,97,158,254,27.98828125,0.0,1.7234999977517873
1,300,3,astar,H3,,resuelto,24,308,829,0,0,185,309,493,27.98828125,0.0,4.834299994399771
1,345,3,astar,H3,,resuelto,21,514,1366,0,2,308,515,822,27.98828125,15.625,5.435400002170354
1,512,3,astar,H3,,resuelto,23,979,2586,0,3,554,980,1533,27.98828125,0.0,11.490000004414469
1,73,3,astar,H3,,resuelto,25,1761,4672,0,11,975,1762,2736,27.98828125,31.25,21.10829998855479
1,579,3,astar,H3,,resuelto,24,900,2411,0,9,531,901,1431,27.98828125,0.0,12.595000007422641
1,617,3,astar,H3,,resuelto,24,1121,2971,0,6,637,1122,1757,27.98828125,31.25,21.542900009080768
1,696,3,astar,H3,,resuelto,25,1047,2770,0,3,607,1048,1654,27.98828125,15.625,19.66520000132732
1,595,3,astar,H3,,resuelto,24,394,1045,0,1,230,395,624,27.98828125,0.0,5.124999996041879
1,248,3,astar,H3,,resuelto,26,1825,4844,0,9,1024,1826,2849,27.98828125,31.25,23.52030001929961
1,528,3,astar,H3,,resuelto,19,300,794,0,0,173,301,473,27.98828125,0.0,3.691699996124953
1,424,3,astar,H3,,resuelto,16,66,179,0,0,48,67,114,27.98828125,0.0,0.7694000087212771
1,456,3,astar,H3,,resuelto,20,385,1044,0,4,243,386,628,27.98828125,15.625,6.697999982861802
1,23,3,astar,H3,,resuelto,17,71,194,0,0,53,72,124,27.98828125,0.0,1.000499993097037
1,717,3,astar,H3,,resuelto,25,1428,3836,0,13,856,1429,2281,27.98828125,15.625,17.025399982230738
1,314,3,astar,H3,,resuelto,21,283,747,0,0,167,284,450,27.98828125,0.0,3.099000023212284
1,650,3,astar,H3,,resuelto,15,85,233,0,0,58,86,142,27.98828125,0.0,1.0731999936979264
1,405,3,astar,H3,,resuelto,25,1290,3398,0,13,705,1291,1995,27.98828125,15.625,15.14060000772588
1,183,3,astar,H3,,resuelto,14,89,246,0,1,66,90,155,27.98828125,0.0,1.5327000000979751
1,13,3,astar,H3,,resuelto,25,1544,4112,0,4,884,1545,2428,27.98828125,31.25,21.445599995786324
1,7,3,astar,H3,,resuelto,20,148,401,0,0,95,149,242,27.98828125,0.0,2.7750000008381903
1,563,3,astar,H3,,resuelto,18,122,329,0,1,81,123,202,27.98828125,0.0,1.3091999862808734
1,434,3,astar,H3,,resuelto,20,383,1035,0,3,249,384,632,27.98828125,0.0,4.193800006760284
1,724,3,astar,H3,,resuelto,23,250,661,0,0,154,251,404,27.98828125,0.0,2.955700008897111
1,608,3,astar,H3,,resuelto,19,190,508,0,1,119,191,309,27.98828125,0.0,2.1077000128570944
1,226,3,astar,H3,,resuelto,20,229,613,0,0,144,230,373,27.98828125,15.625,2.596299978904426
1,58,3,astar,H3,,resuelto,22,573,1528,0,4,343,574,916,27.98828125,0.0,9.25249999272637
1,973,3,astar,H3,,resuelto,21,331,872,0,2,192,332,523,27.98828125,15.625,3.8637999969068915
1,541,3,astar,H3,,resuelto,21,411,1094,0,2,237,412,648,27.98828125,0.0,5.45379999675788
1,376,3,astar,H3,,resuelto,24,832,2201,0,8,476,833,1308,27.98828125,0.0,9.20380000025034
1,113,3,astar,H3,,resuelto,24,780,2087,0,3,458,781,1238,27.98828125,15.625,9.417499997653067
1,169,3,astar,H3,,resuelto,18,99,268,0,0,68,100,167,27.98828125,0.0,1.146599999628961
1,489,3,astar,H3,,resuelto,26,3528,9368,0,13,1908,3529,5436,27.98828125,46.875,46.564500022213906
1,926,3,astar,H3,,resuelto,24,946,2531,0,4,553,947,1499,27.98828125,15.625,10.897700005443767
1,420,3,astar,H3,,resuelto,25,967,2584,0,4,580,968,1547,27.98828125,15.625,16.979900014121085
1,869,3,astar,H3,,resuelto,20,260,684,0,0,147,261,407,27.98828125,0.0,2.6618999836500734
1,748,3,astar,H3,,resuelto,25,890,2383,0,2,536,891,1426,27.98828125,15.625,10.691000003134832
1,779,3,astar,H3,,resuelto,27,3042,8087,0,23,1649,3043,4690,27.98828125,62.5,68.89889997546561
1,91,3,astar,H3,,resuelto,22,496,1319,0,2,296,497,792,27.98828125,15.625,15.346100000897422
1,933,3,astar,H3,,resuelto,22,647,1735,0,2,386,648,1033,27.98828125,15.625,15.908200002741069
1,22,3,astar,H3,,resuelto,22,312,829,0,0,189,313,501,27.98828125,15.625,26.331499975640327
1,683,3,astar,H3,,resuelto,24,856,2296,0,2,520,857,1376,27.98828125,15.625,19.560799992177635
1,940,3,astar,H3,,resuelto,25,848,2251,0,3,484,849,1332,27.98828125,15.625,14.124999986961484
1,139,3,astar,H3,,resuelto,22,581,1562,0,2,362,582,943,27.98828125,15.625,7.641799980774522
1,987,3,astar,H3,,resuelto,26,1704,4560,0,10,1000,1705,2704,27.98828125,15.625,20.653099985793233
1,494,3,astar,H3,,resuelto,24,447,1189,0,1,263,448,710,27.98828125,0.0,4.608000017469749
1,626,3,astar,H3,,resuelto,23,319,866,0,3,214,320,533,27.98828125,15.625,4.096499993465841
1,808,3,astar,H3,,resuelto,24,1647,4399,0,15,949,1648,2596,27.98828125,15.625,19.318000006023794
1,164,3,astar,H3,,resuelto,23,381,1017,0,0,228,382,609,27.98828125,0.0,5.79749999451451
1,468,3,astar,H3,,resuelto,23,676,1794,0,0,407,677,1083,27.98828125,15.625,9.94590000482276
